,parameter,value
0,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\test\2021-10-28_ROSS_michigan_basin_transport_pitzer_scaling_all_distance_LinPerm_1
1,os,windows
2,water_mw,18.015
3,water_grams_per_liter,997.047021671824
4,simulation_type,transport
5,simulation,scaling
6,quantity_of_modules,1
7,domain,single
8,domain_phase,
9,root_path,C:\Users\Andrew Freiburger\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\rosspy
10,database_selection,pitzer
11,simulation_time,100
12,exchange_factor,10000000000.0
13,simulation_perspective,all_distance
14,module_diameter_mm,201
15,permeate_tube_diameter_mm,29
16,module_length_m,1.016
17,permeate_flow_m3_per_day,40
18,max_feed_flow_m3_per_hour,15.9
19,membrane_thickness_mm,0.00025
20,feed_thickness_mm,0.8636
21,active_m2,37
22,permeate_thickness_mm,0.3
23,polysulfonic_layer_thickness_mm,0.05
24,support_layer_thickness_mm,0.15
25,repeated_membrane_winding_mm,1.5641
26,cells_per_module,12
27,active_m2_cell,3.0833333333333335
28,timestep,3.946329703005324
29,permeate_moles_per_cell,8.426354831443001
30,permeate_approach,linear_permeate
31,water_selection,michigan_basin
32,solution_elements,"['Mn', 'Mn', 'B', 'B', 'Cl', 'Cl', 'Na', 'Na', 'S(6)', 'S(6)', 'Ca', 'Ca', 'K', 'K', 'Mg', 'Mg', 'Sr', 'Sr', 'Ba', 'Ba', 'Li', 'Li']"
33,input_file_name,input.pqi
34,input_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\test\2021-10-28_ROSS_michigan_basin_transport_pitzer_scaling_all_distance_LinPerm_1\input.pqi
35,output_file_name,selected_output.pqo
36,output_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\rosspy\test\2021-10-28_ROSS_michigan_basin_transport_pitzer_scaling_all_distance_LinPerm_1\selected_output.pqo
