,variable,value
0,cell_meters,0.08466666666666667
1,feed_cubic_meters,0.017429622854940183
2,feed_kg,17.378153556381264
3,feed_moles,964.634108178239
4,Reynold's number,31.342910282189163
5,feed_kg_cell,1.448179463031772
6,feed_moles_cell,80.38617568151992
7,module 0,{'cf': 3.210315544333303}
8,described_minerals,"{'Anhydrite': {'formula': 'Ca(SO4)', 'mass': 136.1406}, 'Antarcticite': {'formula': 'CaCl2:6H2O', 'mass': 219.07568}, 'Aragonite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Arcanite': {'formula': 'K2SO4', 'mass': 174.2592}, 'Artinite': {'formula': 'Mg2(CO3)(OH)2:3H2O', 'mass': 196.67942}, 'Barite': {'formula': 'Ba(SO4)', 'mass': 233.3896}, 'Bassanite': {'formula': 'CaSO4:0.5H2O', 'mass': 145.14824000000002}, 'Bieberite': {'formula': 'CoSO4:7H2O', 'mass': 281.10276}, 'Bischofite': {'formula': 'MgCl2:6H2O', 'mass': 203.30268}, 'Bloedite': {'formula': 'Na2Mg(SO4)2:4H2O', 'mass': 334.47086}, 'Brucite': {'formula': 'Mg(OH)2', 'mass': 41.31234}, 'Burkeite': {'formula': 'Na6(CO3)(SO4)2', 'mass': 294.01012000000003}, 'C3FH6': {'formula': 'Ca3Fe2(OH)12', 'mass': 248.93134}, 'C4FH13': {'formula': 'Ca4Fe2(OH)14:6H2O', 'mass': 618.1964399999999}, 'Calcite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Carnallite': {'formula': 'KMgCl3:6H2O', 'mass': 277.85398}, 'Celestite': {'formula': 'Sr(SO4)', 'mass': 183.6826}, 'Dolomite': {'formula': 'CaMg(CO3)2', 'mass': 124.3919}, 'Epsonite': {'formula': 'Mg(SO4):7H2O', 'mass': 246.47456}, 'Ferryhydrite': {'formula': 'Fe(OH)3', 'mass': 72.85234}, 'Fluorite': {'formula': 'CaF2', 'mass': 78.0748064}, 'Gaylussite': {'formula': 'CaNa2(CO3)2:5H2O', 'mass': 296.15174}, 'Glaserite': {'formula': 'Na2K6(SO4)4', 'mass': 376.63194}, 'Glauberite': {'formula': 'Na2Ca(SO4)2', 'mass': 182.12014}, 'Gypsum': {'formula': 'CaSO4:2H2O', 'mass': 172.17116000000001}, 'Halite': {'formula': 'NaCl', 'mass': 58.44277}, 'Hexahydrite': {'formula': 'Mg(SO4):6H2O', 'mass': 228.45928}, 'Hydrophilite': {'formula': 'CaCl2', 'mass': 110.98400000000001}, 'Kainite': {'formula': 'KMgCl(SO4):3H2O', 'mass': 248.96474}, 'Lansfordite': {'formula': 'Mg(CO3):5H2O', 'mass': 174.3903}, 'Lawrencite': {'formula': 'FeCl2', 'mass': 126.751}, 'Leonhardtite': {'formula': 'MgSO4:4H2O', 'mass': 192.42872}, 'Leonite': {'formula': 'K2Mg(SO4)2:4H2O', 'mass': 366.68792}, 'Melanterite': {'formula': 'FeSO4:7H2O', 'mass': 278.01456}, 'Mirabilite': {'formula': 'Na2SO4:10H2O', 'mass': 322.19494}, 'Natron': {'formula': 'Na2(CO3):10H2O', 'mass': 286.14124000000004}, 'Nesquehonite': {'formula': 'Mg(CO3):3H2O', 'mass': 138.35974}, 'Pentahydrite': {'formula': 'MgSO4:5H2O', 'mass': 210.44400000000002}, 'Picromerite': {'formula': 'K2Mg(SO4)2:6H2O', 'mass': 402.71848}, 'Pirssonite': {'formula': 'Na2Ca(CO3)2:2H2O', 'mass': 242.1059}, 'Polyhalite': {'formula': 'K2MgCa2(SO4)4:2H2O', 'mass': 602.93856}, 'Portlandite': {'formula': 'Ca(OH)2', 'mass': 57.08534}, 'Pyrochroite': {'formula': 'Mn(OH)2', 'mass': 71.945389}, 'Rhodochrosite': {'formula': 'Mn(CO3)', 'mass': 114.94694899999999}, 'Sacchite': {'formula': 'MnCl2', 'mass': 125.84404900000001}, 'Siderite': {'formula': 'Fe(CO3)', 'mass': 115.8539}, 'Sphaerocobaltite': {'formula': 'CoCO3', 'mass': 118.9421}, 'Strontianite': {'formula': 'Sr(CO3)', 'mass': 147.6289}, 'Sylvite': {'formula': 'KCl', 'mass': 74.5513}, 'Syngenite': {'formula': 'K2Ca(SO4)2:6H2O', 'mass': 418.49148}, 'Tachyhydrite': {'formula': 'Mg2CaCl6:12H2O', 'mass': 517.5893599999999}, 'Thermonatrite': {'formula': 'Na2(CO3):H2O', 'mass': 124.00371999999999}, 'Thernardite': {'formula': 'Na2SO4', 'mass': 142.04214}, 'Vaterite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Witherite': {'formula': 'Ba(CO3)', 'mass': 197.33589999999998}}"
9,simulation_path,C:\Users\Andrew Freiburger\Dropbox\My PC (DESKTOP-M302P50)\Documents\UVic Civil Engineering\PHREEQC\ROSS\examples\scaling\scale_validation\Karabelas_et_al-2020\sit scaling
10,run_time (s),27.416709600016475
11,initial_solution_mass,17.378153556381264
12,final_solution_mass,5.72826060345718
13,simulation_cf,3.03375749802532
14,final_time,203.17960356615978
15,precipitated_minerals,"{'Calcite': {'formula': 'CaCO3', 'mass': 100.0869}, 'Ferryhydrite': {'formula': 'Fe(OH)3', 'mass': 72.85234}}"
