Time (s),Ca(mol/kgw),Mg(mol/kgw),Na(mol/kgw),Sr(mol/kgw),Cl(mol/kgw),S(6)(mol/kgw),Fe(mol/kgw)
4.73E1,7.350E-14,6.906E-14,4.250E-13,6.197E-16,5.017E-13,1.007E-13,
4.81E1,7.181E-8,7.669E-8,4.719E-7,6.077E-10,5.571E-7,1.020E-7,1.993E-11
4.89E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
4.97E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.05E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.13E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.22E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.30E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.38E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.46E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.54E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.62E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.70E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.79E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.87E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
5.95E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.03E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.11E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.19E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.27E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.36E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.44E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.52E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.60E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.68E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.76E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.85E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
6.93E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.01E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.09E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.17E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.25E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.33E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.42E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.50E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.58E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.66E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.74E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
7.82E1,2.557E-2,4.004E-2,2.464E-1,2.177E-4,2.909E-1,4.121E-2,1.040E-5
